"name","address","latitude","longitude"
饗 くろ㐂,〒101-0024 東京都千代田区神田和泉町2-15,35.6987985,139.7801351
麺処 ほん田 秋葉原本店,〒101-0028 東京都千代田区神田花岡町1-19,35.69820139999999,139.7742042
青島食堂 秋葉原店,〒101-0025 東京都千代田区神田佐久間町3-20-1 大杉ビル1F,35.6974578,139.7788094
Tokyo Style Noodle ほたて日和,〒101-0025 東京都千代田区神田佐久間町2-25 梅屋ビル1階,35.6985592,139.7770095
IEKEI_TOKYO 王道家直系,〒101-0021 東京都千代田区外神田5丁目2-7 外神田下村ビル,35.7043594,139.7724227
カラシビ味噌らー麺 鬼金棒,〒101-0044 東京都千代田区鍛冶町2-10-9,35.6936894,139.7723765
らーめん天神下 大喜,〒110-0016 東京都台東区台東2-4-4,35.7025602,139.778737
『 』（無銘）,〒101-0042 東京都千代田区神田東松下町49-8,35.6946164,139.7724302
田中そば店 秋葉原店,〒101-0021 東京都千代田区外神田3-8-3 第1針谷ビル 1階,35.7023618,139.7706592
スパイス・ラー麺 卍力 秋葉原店,〒110-0016 東京都台東区台東1-10-5,35.7012201,139.7759238
秋葉原ラーメン わいず,東京都千代田区外神田3-7-8,35.7028086,139.7704096
麺屋武蔵 武仁,東京都千代田区神田佐久間町2-18-5,35.6986383,139.7758435
富白 御徒町本店,〒110-0016 東京都台東区台東3-14-10,35.7043516,139.7765402
超ごってり麺 ごっつ 秋葉原店,東京都千代田区神田松永町18-1 ビオレ秋葉原 1F,35.7005676,139.7752124
家系らーめん 武将家 外伝,〒101-0023 東京都千代田区神田松永町16,35.7000396,139.7752222
麺屋武蔵 巌虎,東京都千代田区外神田1-3-9 木倉ビル1・2F,35.6981662,139.7703696
家系らーめん 武将家,〒101-0021 東京都千代田区外神田4丁目2-7,35.7000569,139.7719771
ウミのチカラ,〒110-0016 東京都台東区台東1-32-6 小島ビル,35.7023638,139.7773731
鶏そば鯛そば きょうすけ,〒101-0021 東京都千代田区外神田3-12-2-1F/2F,35.70006130000001,139.7704894
らーめん藪づか,〒110-0005 東京都台東区上野3-13-1 西武ビル1階,35.7051316,139.7730954
